Ar                 0   136.501     3.330     0.000     0.000     0.000
C2H5OH             2   384.521     5.509     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     1.600     3.800
N2                 1    97.530     3.621     0.000     1.760     4.000
H2                 1    38.000     2.920     0.000     0.790   280.000
H                  0   145.000     2.050     0.000     0.000     0.000
O                  0    80.000     2.750     0.000     0.000     0.000
OH                 1    80.000     2.750     0.000     0.000     0.000
H2O                2   572.402     2.605     1.844     0.000     4.000
CO2                1   244.001     3.763     0.000     2.650     2.100
H2O2               2   107.400     3.458     0.000     0.000     3.800
HO2                2   107.400     3.458     0.000     0.000     1.000
CH3                2   144.001     3.800     0.000     0.000     0.000
HCO                2   498.002     3.590     0.000     0.000     0.000
CH2O               2   498.002     3.590     0.000     0.000     2.000
CH2OH              2   417.002     3.690     1.700     0.000     2.000
CH3CHO             2   436.001     3.970     0.000     0.000     2.000
CH2CHO             2   436.001     3.970     0.000     0.000     2.000
C2H3OH             2   384.542     5.299     0.000     0.000     0.000
C2H5O(51)          2   384.521     5.509     0.000     0.000     0.000
CH2CO              2   436.001     3.970     0.000     0.000     2.000
HCCO               2   150.001     2.500     0.000     0.000     1.000
C2H5O(64)          2   384.521     5.509     0.000     0.000     0.000
CO                 1    98.100     3.650     0.000     1.950     1.800
S(373)             2   473.551     6.440     0.000     0.000     0.000
