t_s,wall_surface_F
0.0,153.08410805538068
0.1,1063.968440183041
0.2,1361.8541529264655
0.3,1562.145764607066
0.4,1715.2904703023123
0.5,1839.9318954297032
0.6,1945.265383651309
0.7000000000000001,2036.5693724007317
0.8,2117.1785131938514
0.9,2189.3445123244096
1.0,2254.664466916941
1.1,2314.314937228645
1.2,2369.189221297082
1.3,2419.982441631573
1.4000000000000001,2467.246690747328
1.5,2511.4281110827337
1.6,2552.8926098798497
1.7,2591.944168172258
1.8,2628.838176303926
1.9000000000000001,2663.7913413045585
2.0,2696.989176826102
