t_s,wall_surface_F
0.0,153.2481526187167
0.1,1065.1459859469812
0.2,1363.0254124181677
0.3,1563.2253589335955
0.4,1716.253155205243
0.5,1840.769582324314
0.6,1945.976538224427
0.7000000000000001,2037.1553150796765
0.8,2117.6418729931784
0.9,2189.6885062162264
1.0,2254.8925401595307
1.1,2314.430576513773
1.2,2369.195856193289
1.3,2419.8833933026235
1.4000000000000001,2467.045146824
1.5,2511.1271152997238
1.6,2552.495060113688
1.7,2591.4528192241114
1.8,2628.255645284464
1.9000000000000001,2663.1201143484113
2.0,2696.2316163759924
