t_s,wall_surface_F
0.0,239.47570728243318
0.1,1474.3970549000844
0.2,1739.9606267479332
0.3,1896.590585765888
0.4,2009.496719596124
0.5,2101.013134585658
0.6,2180.504056926998
0.7000000000000001,2252.134700215382
0.8,2317.863685894556
0.9,2378.697298703459
1.0,2435.223788124223
1.1,2487.8422967455035
1.2,2536.861498297794
1.3,2582.542458996416
1.4000000000000001,2625.117550050052
1.5,2664.7990472037854
1.6,2701.783274334459
1.7,2736.2528116968556
1.8,2768.377854610297
1.9000000000000001,2798.3171901216897
2.0,2826.218992532523
2.1,2852.221523763483
2.2,2876.4537751734506
2.3000000000000003,2899.0360664235973
2.4,2920.0806081623514
2.5,2939.692031717999
2.6,2957.9678876139874
2.7,2974.9991142527106
2.8000000000000003,2990.870478001313
2.9,3005.660985922236
3.0,3019.4442724239743
3.1,3032.2889611378455
3.2,3044.2590033345505
3.3000000000000003,3055.41399418774
3.4,3065.8094681660323
3.5,3075.4971748021558
3.6,3084.5253360402194
3.7,3092.938886314746
3.8000000000000003,3100.7796964600643
3.9,3108.086782492325
4.0,3114.896500251571
4.1,3121.2427268343645
4.2,3127.1570296941345
4.3,3132.6688242306445
4.4,3137.80552064305
4.5,3142.5926607686956
4.6000000000000005,3147.054045583316
4.7,3151.211853999974
4.8,3155.0867535524862
4.9,3158.698003520167
5.0,3162.0635510069815
