t_s,wall_surface_F
0.0,274.32430948069657
0.1,1632.2918110916096
0.2,1898.338577066479
0.3,2050.043250298408
0.4,2153.9279788487024
0.5,2231.8354182621542
0.6,2293.8153783616
0.7000000000000001,2345.382673279771
0.8,2389.8578636444445
0.9,2429.333269189105
1.0,2465.157472078012
1.1,2498.2117478215973
1.2,2529.0789230658293
1.3,2558.1497940421636
1.4000000000000001,2585.691088875808
1.5,2611.8891103606143
1.6,2636.877829444812
1.7,2660.7569926583174
1.8,2683.603804391275
1.9000000000000001,2705.4804714617917
2.0,2726.4390815515426
2.1,2746.5247629193896
2.2,2765.7777356512506
2.3000000000000003,2784.2346477049623
2.4,2801.9294492814115
2.5,2818.8939690349484
2.6,2835.1582976257014
2.7,2850.751046698827
2.8000000000000003,2865.699527250671
2.9,2880.0298757571554
3.0,2893.7671463895717
3.1,2906.935381144379
3.2,2919.557665518886
3.3000000000000003,2931.6561746551374
3.4,2943.252213121923
3.5,2954.3662503751366
3.6,2965.0179532049274
3.7,2975.2262160141845
3.8000000000000003,2985.009189459335
3.9,2994.3843078013106
4.0,3003.368315181431
4.1,3011.977290963678
4.2,3020.226674231377
4.3,3028.1312874953883
4.4,3035.7053596525243
4.5,3042.9625482208316
4.6000000000000005,3049.9159608705877
4.7,3056.5781762667975
4.8,3062.9612642378497
4.9,3069.0768052808407
5.0,3074.9359094188785
