t_s,wall_surface_F
0.0,76.73000000000005
0.25,1094.4121951852771
0.5,1235.6565158158282
0.75,1311.8843460337207
1.0,1362.3319528245522
1.25,1399.3497356337994
1.5,1428.4731267400289
1.75,1452.6411015685626
2.0,1473.539858806573
2.25,1492.1713503615445
2.5,1509.1430870642998
2.75,1524.8302736725923
3.0,1539.4700460141107
3.25,1553.2170273040476
3.5,1566.1762513699296
3.75,1578.4227157776513
4.0,1590.013010737313
4.25,1600.992245814665
4.5,1611.3981847890345
4.75,1621.2637221799523
5.0,1630.6183742982712
