t_s,wall_surface_F
0.0,76.73000000000005
0.25,1027.815149606565
0.5,1136.2706869528226
0.75,1192.1354919696362
1.0,1228.042304127536
1.25,1253.7264835492645
1.5,1273.316811338636
1.75,1288.9176322554572
2.0,1301.7334691314209
2.25,1312.5118147898309
2.5,1321.7451818986751
2.75,1329.7735378719972
3.0,1336.8405275113832
3.25,1343.1262958281263
3.5,1348.7676078087645
3.75,1353.8706733586234
4.0,1358.5195891767082
4.25,1362.7820499320562
4.5,1366.7133079014657
4.75,1370.3589817958443
5.0,1373.7570935705585
