t_s,wall_surface_F
0.0,76.73000000000005
0.25,1179.005703522822
0.5,1312.4125104721318
0.75,1382.4356151203572
1.0,1427.9672553894993
1.25,1460.8031199264383
1.5,1486.0045260279674
1.75,1506.1775251170004
2.0,1522.8313767926188
2.25,1536.9170579260108
2.5,1549.0725621419233
2.75,1559.7460362603747
3.0,1569.2626632427098
3.25,1577.8636973086495
3.5,1585.73081609961
3.75,1593.002225089396
4.0,1599.783818372213
4.25,1606.1571859448684
4.5,1612.1854976417767
4.75,1617.917895312356
5.0,1623.3928043118806
