t_s,wall_surface_F
0.0,204.98758250867252
0.0335,837.9336831167163
0.067,1007.8750906618585
0.1005,1112.0974231175212
0.134,1186.8923631575547
0.1675,1244.859118166179
0.201,1291.9448760789505
0.23450000000000001,1331.4685864626772
0.268,1365.4966278024624
0.3015,1395.4134091215344
0.335,1422.1910986686757
0.3685,1446.5322735643292
0.402,1468.9534732675156
0.4355,1489.8384688294952
0.46900000000000003,1509.4743863215404
0.5025000000000001,1528.077205195518
0.536,1545.8101945524802
0.5695,1562.7974271922462
0.603,1579.1337612630994
0.6365000000000001,1594.8922438128025
0.67,1610.1296150020835
0.7035,1624.8904058433047
0.737,1639.2099915071863
0.7705,1653.1168678280007
0.804,1666.6343495215442
0.8375,1679.7818376390828
0.871,1692.5757660055647
0.9045,1705.030308340242
0.9380000000000001,1717.1579069076165
0.9715,1728.969668033636
1.0050000000000001,1740.475658275092
1.0385,1751.6851264332377
1.072,1762.6066701978648
1.1055,1773.2483614372727
1.139,1783.6178405917951
1.1725,1793.7223879777405
1.206,1803.5689778299015
1.2395,1813.1643194365056
1.2730000000000001,1822.5148886168797
1.3065,1831.6269519733899
1.34,1840.50658573127
1.3735,1849.1596905251652
1.407,1857.5920031455535
1.4405000000000001,1865.8091060042855
1.474,1873.8164348852217
1.5075,1881.6192854049282
1.541,1889.222818499032
1.5745,1896.6320651720184
1.608,1903.8519306868511
1.6415,1910.887198326393
1.675,1917.7425328259792
1.7085000000000001,1924.4224835503314
1.742,1930.9314874697222
1.7755,1937.2738719766312
1.809,1943.45385757325
1.8425,1949.4755604528978
1.8760000000000001,1955.3429949913839
1.9095,1961.0600761622209
1.943,1966.630621884187
1.9765000000000001,1972.0583553080232
2.0100000000000002,1977.3469070487322
2.0435,1982.499817365811
2.077,1987.520538295506
2.1105,1992.41243573666
2.144,1997.1787914928161
2.1775,2001.8228052703585
2.211,2006.3475966354786
2.2445,2010.7562069297765
2.278,2015.051601145679
2.3115,2019.2366697621396
2.345,2023.3142305415327
2.3785,2027.2870302880615
2.412,2031.1577465683695
2.4455,2034.9289893946363
2.479,2038.603302871275
2.5125,2042.1831668051618
2.5460000000000003,2045.6709982801572
2.5795,2049.069153196615
2.613,2052.379927776422
2.6465,2055.6055600332957
2.68,2058.748231210666
2.7135000000000002,2061.8100671859474
2.747,2064.7931398425853
2.7805,2067.6994684104093
2.814,2070.531020774986
2.8475,2073.289714755953
2.8810000000000002,2075.9774193557155
2.9145,2078.595955978426
2.948,2081.147099620216
2.9815,2083.632580031148
3.015,2086.054082849495
3.0485,2088.413250708617
3.082,2090.7116843173617
3.1155,2092.9509435146747
3.149,2095.1325482981238
3.1825,2097.2579798281545
3.216,2099.328681407489
3.2495000000000003,2101.3460594368325
3.283,2103.311484347125
3.3165,2105.2262915089013
3.35,2107.0917821198027
3.3835,2108.909224069678
3.4170000000000003,2110.679852784498
3.4505,2112.4048720496094
3.484,2114.085454812742
3.5175,2115.722743966613
3.551,2117.317853112464
3.5845000000000002,2118.8718673048797
3.618,2120.3858437774034
3.6515,2121.860812650567
3.685,2123.297777621995
3.7185,2124.6977166396064
3.7520000000000002,2126.0615825572977
3.7855,2127.390303775007
3.819,2128.6847848622247
3.8525,2129.9459071658275
3.886,2131.174529402878
3.9195,2132.371488238435
3.9530000000000003,2133.537598848653
3.9865,2134.6736554698505
4.0200000000000005,2135.7804319337683
4.0535,2136.858682189076
4.087,2137.9091408098457
4.1205,2138.9325234914277
4.154,2139.929527533172
4.1875,2140.900832309394
4.221,2141.8470997284676
4.2545,2142.7689746796905
4.288,2143.6670854698227
4.3215,2144.542044247238
4.355,2145.3944474164764
4.3885000000000005,2146.2248760414286
4.422,2147.03389623892
4.4555,2147.822059561912
4.489,2148.5899033728538
4.5225,2149.33795120789
4.556,2150.066713131337
4.5895,2150.7766860817674
4.623,2151.468354208356
4.6565,2152.1421891995465
4.69,2152.7986506028656
4.7235000000000005,2153.4381861364673
4.757,2154.0612319934044
4.7905,2154.66821313697
4.824,2155.259543589792
4.8575,2155.8356267143454
4.891,2156.3968554871813
4.9245,2156.943612765929
4.958,2157.4762715489055
4.9915,2157.9951952289202
