t_s,wall_surface_F
0.0,231.35094010738436
0.0335,937.42085244392
0.067,1113.367432946774
0.1005,1218.6236816103517
0.134,1292.9153233994623
0.1675,1349.7653964679514
0.201,1395.4491678828736
0.23450000000000001,1433.394435873976
0.268,1465.6770888479443
0.3015,1493.6479392780107
0.335,1518.2339829190964
0.3685,1540.0980342186008
0.402,1559.7297795955262
0.4355,1577.5007989823878
0.46900000000000003,1593.6993996775575
0.5025000000000001,1608.5535338349966
0.536,1622.2463711091814
0.5695,1634.9271759825144
0.603,1646.719088354989
0.6365000000000001,1657.7248057520649
0.67,1668.03080961586
0.7035,1677.7105601305034
0.737,1686.8269465945439
0.7705,1695.4341914811655
0.804,1703.579347540145
0.8375,1711.303487608544
0.871,1718.6426595051867
0.9045,1725.6286593002508
0.9380000000000001,1732.2896627003106
0.9715,1738.6507445320524
1.0050000000000001,1744.7343091905902
1.0385,1750.5604496651536
1.072,1756.1472488337477
1.1055,1761.5110337622677
1.139,1766.6665914929774
1.1725,1771.6273530781261
1.206,1776.4055512769523
1.2395,1781.0123562878427
1.2730000000000001,1785.4579930673044
1.3065,1789.7518431358417
1.34,1793.9025332533984
1.3735,1797.9180129313777
1.407,1801.8056224129607
1.4405000000000001,1805.572152482867
1.474,1809.2238972455584
1.5075,1812.7667008305762
1.541,1816.2059988344542
1.5745,1819.5468551854876
1.608,1822.7939950158095
1.6415,1825.9518340401369
1.675,1829.0245048691559
1.7085000000000001,1832.0158806260192
1.742,1834.9295961839857
1.7755,1837.7690673006164
1.809,1840.5375078877728
1.8425,1843.237945625946
1.8760000000000001,1845.8732361049813
1.9095,1848.4460756506965
1.943,1850.9590129775802
1.9765000000000001,1853.4144597908853
2.0100000000000002,1855.8147004468876
2.0435,1858.1619007675624
2.077,1860.458116095058
2.1105,1862.7052986614449
2.144,1864.9053043411157
2.1775,1867.0598988459922
2.211,1869.1707634167337
2.2445,1871.2395000580243
2.278,1873.2676363605788
2.3115,1875.2566299482642
2.345,1877.2078725847255
2.3785,1879.1226939704477
2.412,1881.0023652580317
2.4455,1882.8481023106585
2.479,1884.6610687264038
2.5125,1886.4423786486307
2.5460000000000003,1888.1930993809442
2.5795,1889.9142538231645
2.613,1891.6068227433861
2.6465,1893.2717468999042
2.68,1894.909929025087
2.7135000000000002,1896.5222356823615
2.747,1898.1094990066472
2.7805,1899.672518337314
2.814,1901.212061752031
2.8475,1902.728867509203
2.8810000000000002,1904.2236454057493
2.9145,1905.6970780568918
2.948,1907.1498221032296
2.9815,1908.5825093508688
3.015,1909.9957478489675
3.0485,1911.390122909462
3.082,1912.7661980727048
3.1155,1914.1245160228634
3.149,1915.4655994564062
3.1825,1916.7899519068183
3.216,1918.0980585283137
3.2495000000000003,1919.3903868411649
3.283,1920.6673874411786
3.3165,1921.9294946754453
3.35,1923.1771272864087
3.3835,1924.4106890261107
3.4170000000000003,1925.6305692424783
3.4505,1926.837143439167
3.484,1928.030773810482
3.5175,1929.2118097528096
3.551,1930.380588353751
3.5845000000000002,1931.5374348602586
3.618,1932.6826631268964
3.6515,1933.8165760450952
3.685,1934.9394659546365
3.7185,1936.0516150380013
3.7520000000000002,1937.1532956986164
3.7855,1938.2447709237701
3.819,1939.3262946327839
3.8525,1940.3981120114065
3.886,1941.460459832778
3.9195,1942.5135667658196
3.9530000000000003,1943.5576536715369
3.9865,1944.5929338877322
4.0200000000000005,1945.6196135026792
4.0535,1946.6378916184221
4.087,1947.6479606037453
4.1205,1948.6500063376268
4.154,1949.644208443537
4.1875,1950.6307405147113
4.221,1951.6097703310145
4.2545,1952.5814600677536
4.288,1953.5459664965724
4.3215,1954.5034411789588
4.355,1955.4540306525541
4.3885000000000005,1956.3978766105454
4.422,1957.3351160744055
4.4555,1958.2658815604386
4.489,1959.190301240014
4.5225,1960.10849909408
4.556,1961.020595061965
4.5895,1961.926705184791
4.623,1962.8269417436336
4.6565,1963.7214133927278
4.69,1964.610225287774
4.7235000000000005,1965.4934792095876
4.757,1966.3712736834218
4.7905,1967.2437040938298
4.824,1968.11086279548
4.8575,1968.9728392198383
4.891,1969.8297199783083
4.9245,1970.6815889613292
4.958,1971.528527434101
4.9915,1972.370614128955
